fips,party,data
8059,LIBERTARIAN,6394
8059,OTHER,3062
8059,REPUBLICAN,148417
8061,DEMOCRAT,98
8061,GREEN,0
8061,LIBERTARIAN,9
8061,OTHER,1
8061,REPUBLICAN,795
8063,DEMOCRAT,662
8063,GREEN,2
8063,LIBERTARIAN,34
8063,OTHER,29
8063,REPUBLICAN,3144
8065,DEMOCRAT,2303
8065,GREEN,23
8065,LIBERTARIAN,101
8065,OTHER,37
8065,REPUBLICAN,1497
8067,DEMOCRAT,20548
8067,GREEN,128
8067,LIBERTARIAN,530
8067,OTHER,228
8067,REPUBLICAN,14233
8069,DEMOCRAT,126120
8069,GREEN,727
8069,LIBERTARIAN,4089
8069,OTHER,1913
8069,REPUBLICAN,91489
8071,DEMOCRAT,3497
8071,GREEN,17
8071,LIBERTARIAN,86
8071,OTHER,77
8071,REPUBLICAN,4284
8073,DEMOCRAT,470
8073,GREEN,1
8073,LIBERTARIAN,26
8073,OTHER,19
8073,REPUBLICAN,2135
8075,DEMOCRAT,2218
8075,GREEN,16
8075,LIBERTARIAN,139
8075,OTHER,72
8075,REPUBLICAN,8087
8077,DEMOCRAT,31536
8077,GREEN,188
8077,LIBERTARIAN,1306
8077,OTHER,699
8077,REPUBLICAN,56894
8079,DEMOCRAT,317
8079,GREEN,0
8079,LIBERTARIAN,3
8079,OTHER,9
8079,REPUBLICAN,427
8081,DEMOCRAT,1203
8081,GREEN,7
8081,LIBERTARIAN,97
8081,OTHER,49
8081,REPUBLICAN,5670
8083,DEMOCRAT,5836
8083,GREEN,33
8083,LIBERTARIAN,192
8083,OTHER,133
8083,REPUBLICAN,9306
8085,DEMOCRAT,7687
8085,GREEN,49
8085,LIBERTARIAN,285
8085,OTHER,131
8085,REPUBLICAN,16770
8087,DEMOCRAT,3876
8087,GREEN,26
8087,LIBERTARIAN,151
8087,OTHER,98
8087,REPUBLICAN,9593
8089,DEMOCRAT,3605
8089,GREEN,16
8089,LIBERTARIAN,88
8089,OTHER,111
8089,REPUBLICAN,5756
8091,DEMOCRAT,2365
8091,GREEN,12
8091,LIBERTARIAN,46
8091,OTHER,20
8091,REPUBLICAN,1577
8093,DEMOCRAT,4903
8093,GREEN,56
8093,LIBERTARIAN,238
8093,OTHER,103
8093,REPUBLICAN,6991
8095,DEMOCRAT,486
8095,GREEN,7
8095,LIBERTARIAN,24
8095,OTHER,10
8095,REPUBLICAN,1958
8097,DEMOCRAT,8989
8097,GREEN,41
8097,LIBERTARIAN,94
8097,OTHER,53
8097,REPUBLICAN,2780
8099,DEMOCRAT,1458
8099,GREEN,9
8099,LIBERTARIAN,39
8099,OTHER,47
8099,REPUBLICAN,4008
8101,DEMOCRAT,43772
8101,GREEN,205
8101,LIBERTARIAN,1200
8101,OTHER,872
8101,REPUBLICAN,42252
8103,DEMOCRAT,561
8103,GREEN,3
8103,LIBERTARIAN,42
8103,OTHER,24
8103,REPUBLICAN,3061
8105,DEMOCRAT,2495
8105,GREEN,11
8105,LIBERTARIAN,66
8105,OTHER,73
8105,REPUBLICAN,3660
8107,DEMOCRAT,10582
8107,GREEN,37
8107,LIBERTARIAN,236
8107,OTHER,96
8107,REPUBLICAN,5925
8109,DEMOCRAT,1884
8109,GREEN,13
8109,LIBERTARIAN,39
8109,OTHER,40
8109,REPUBLICAN,1413
8111,DEMOCRAT,342
8111,GREEN,2
8111,LIBERTARIAN,7
8111,OTHER,9
8111,REPUBLICAN,202
8113,DEMOCRAT,3924
8113,GREEN,14
8113,LIBERTARIAN,52
8113,OTHER,21
8113,REPUBLICAN,1136
8115,DEMOCRAT,301
8115,GREEN,1
8115,LIBERTARIAN,8
8115,OTHER,15
8115,REPUBLICAN,1121
8117,DEMOCRAT,12631
8117,GREEN,60
8117,LIBERTARIAN,353
8117,OTHER,113
8117,REPUBLICAN,5322
8119,DEMOCRAT,5278
8119,GREEN,25
8119,LIBERTARIAN,267
8119,OTHER,128
8119,REPUBLICAN,11241
8121,DEMOCRAT,369
8121,GREEN,5
8121,LIBERTARIAN,25
8121,OTHER,14
8121,REPUBLICAN,2595
8123,DEMOCRAT,66060
8123,GREEN,340
8123,LIBERTARIAN,2895
8123,OTHER,1534
8123,REPUBLICAN,96145
8125,DEMOCRAT,785
8125,GREEN,2
8125,LIBERTARIAN,52
8125,OTHER,35
8125,REPUBLICAN,4107
9001,DEMOCRAT,297505
9001,GREEN,1681
9001,LIBERTARIAN,4593
9001,OTHER,172
9001,REPUBLICAN,168445
9003,DEMOCRAT,283368
9003,GREEN,1773
9003,LIBERTARIAN,5039
9003,OTHER,132
