year,state,county_name,county_fips,candidate,party,candidatevotes,totalvotes,mode
2016,ALABAMA,RANDOLPH,1111,HILLARY CLINTON,DEMOCRAT,2291,10187,TOTAL
2016,ALABAMA,RANDOLPH,1111,DONALD TRUMP,REPUBLICAN,7705,10187,TOTAL
2016,ALABAMA,RANDOLPH,1111,OTHER,OTHER,191,10187,TOTAL
2016,ALABAMA,RUSSELL,1113,HILLARY CLINTON,DEMOCRAT,9579,19256,TOTAL
2016,ALABAMA,RUSSELL,1113,DONALD TRUMP,REPUBLICAN,9210,19256,TOTAL
2016,ALABAMA,RUSSELL,1113,OTHER,OTHER,467,19256,TOTAL
2016,ALABAMA,ST. CLAIR,1115,HILLARY CLINTON,DEMOCRAT,5589,38400,TOTAL
2016,ALABAMA,ST. CLAIR,1115,DONALD TRUMP,REPUBLICAN,31651,38400,TOTAL
2016,ALABAMA,ST. CLAIR,1115,OTHER,OTHER,1160,38400,TOTAL
2016,ALABAMA,SHELBY,1117,HILLARY CLINTON,DEMOCRAT,22977,101254,TOTAL
2016,ALABAMA,SHELBY,1117,DONALD TRUMP,REPUBLICAN,73020,101254,TOTAL
2016,ALABAMA,SHELBY,1117,OTHER,OTHER,5257,101254,TOTAL
2016,ALABAMA,SUMTER,1119,HILLARY CLINTON,DEMOCRAT,4746,6411,TOTAL
2016,ALABAMA,SUMTER,1119,DONALD TRUMP,REPUBLICAN,1581,6411,TOTAL
2016,ALABAMA,SUMTER,1119,OTHER,OTHER,84,6411,TOTAL
2016,ALABAMA,TALLADEGA,1121,HILLARY CLINTON,DEMOCRAT,12121,33407,TOTAL
2016,ALABAMA,TALLADEGA,1121,DONALD TRUMP,REPUBLICAN,20614,33407,TOTAL
2016,ALABAMA,TALLADEGA,1121,OTHER,OTHER,672,33407,TOTAL
2016,ALABAMA,TALLAPOOSA,1123,HILLARY CLINTON,DEMOCRAT,5519,19486,TOTAL
2016,ALABAMA,TALLAPOOSA,1123,DONALD TRUMP,REPUBLICAN,13594,19486,TOTAL
2016,ALABAMA,TALLAPOOSA,1123,OTHER,OTHER,373,19486,TOTAL
2016,ALABAMA,TUSCALOOSA,1125,HILLARY CLINTON,DEMOCRAT,31762,82700,TOTAL
2016,ALABAMA,TUSCALOOSA,1125,DONALD TRUMP,REPUBLICAN,47723,82700,TOTAL
2016,ALABAMA,TUSCALOOSA,1125,OTHER,OTHER,3215,82700,TOTAL
